id,name,plan_multiplier,raw_crossings,finished_crossings,length,kept,min_radius,narrowest,widest,carries
ae-2009,"Yas Marina Circuit",1,0,0,685.115784,0.995605,5.058195,3.650000,3.650000,true
ar-1952,"Autódromo Oscar y Juan Gálvez",1,0,0,500.985931,0.910708,5.011304,3.650000,3.650000,true
at-1969,"Red Bull Ring",1,0,0,559.018616,0.991982,5.096241,3.650000,3.650000,true
au-1953,"Albert Park Circuit",1,0,0,688.655762,0.998499,5.061537,3.650000,3.650000,true
az-2016,"Baku City Circuit",2.45,0,0,1930.210815,0.999978,5.117534,2.530356,3.650000,true
be-1925,"Circuit de Spa-Francorchamps",1,0,0,901.536255,0.987691,5.038834,3.650000,3.650000,true
bh-2002,"Bahrain International Circuit",1,0,0,685.225098,0.974593,5.019202,3.650000,3.650000,true
br-1940,"Autódromo José Carlos Pace - Interlagos",1,0,0,545.614136,0.979898,5.015680,3.650000,3.650000,true
br-1977,"Autódromo Internacional Nelson Piquet",1,0,0,646.575012,0.999905,5.050824,3.650000,3.650000,true
ca-1978,"Circuit Gilles-Villeneuve",1,0,0,505.329041,0.892362,5.055600,3.650000,3.650000,true
cn-2004,"Shanghai International Circuit",1,0,0,579.186890,0.826062,5.019061,3.650000,3.650000,true
de-1927,"Nürburgring",1,0,0,555.692322,0.837196,5.058913,3.650000,3.650000,true
de-1932,"Hockenheimring",1,0,0,540.394714,0.914637,5.026342,3.650000,3.650000,true
es-1991,"Circuit de Barcelona-Catalunya",1,0,0,605.164734,0.996307,5.005373,3.650000,3.650000,true
es-2026,"Circuito de Madring",1,0,0,701.288757,0.998738,5.112707,3.650000,3.650000,true
fr-1960,"Circuit de Nevers Magny-Cours",1,0,0,497.468567,0.862894,5.011179,3.650000,3.650000,true
fr-1969,"Circuit Paul Ricard",1,0,0,752.182495,0.994245,5.087669,3.650000,3.650000,true
gb-1948,"Silverstone Circuit",1,0,0,762.786316,0.993900,5.119374,3.650000,3.650000,true
hu-1986,"Hungaroring",1,0,0,558.312866,0.987965,5.040356,3.650000,3.650000,true
it-1914,"Autodromo Internazionale del Mugello",1,0,0,686.335144,0.999937,5.025502,3.650000,3.650000,true
it-1922,"Autodromo Nazionale Monza",1,0,0,762.682129,0.999858,5.017153,3.650000,3.650000,true
it-1953,"Autodromo Enzo e Dino Ferrari",1,0,0,638.283997,0.996488,5.076689,3.650000,3.650000,true
jp-1962,"Suzuka International Racing Course",1,1,1,731.242920,0.964252,5.049646,-0.193674,3.650000,false
mc-1929,"Circuit de Monaco",1.6,0,0,649.729614,0.949799,5.059614,2.759214,3.650000,true
mx-1962,"Autódromo Hermanos Rodríguez",1,0,0,547.572876,0.989628,5.094018,3.650000,3.650000,true
my-1999,"Sepang International Circuit",1,0,0,675.553833,0.941643,5.003460,3.650000,3.650000,true
nl-1948,"Circuit Zandvoort",1,0,0,526.114075,0.958478,5.047282,2.407562,3.650000,true
pt-1972,"Autódromo do Estoril",1,0,0,518.072205,0.961519,5.024163,3.226570,3.650000,true
pt-2008,"Autódromo Internacional do Algarve",1,0,0,572.637207,0.952858,5.004107,3.650000,3.650000,true
qa-2004,"Losail International Circuit",1,0,0,703.119446,0.994175,5.054070,3.650000,3.650000,true
ru-2014,"Sochi Autodrom",1,0,0,758.974915,0.998385,5.084222,3.109828,3.650000,true
sa-2021,"Jeddah Corniche Circuit",1.2,0,0,976.741699,0.999424,5.228630,2.532995,3.650000,true
sg-2008,"Marina Bay Street Circuit",1,0,0,630.071655,0.988555,5.103546,3.650000,3.650000,true
tr-2005,"Intercity Istanbul Park",1,0,0,684.580505,0.993419,5.068879,3.650000,3.650000,true
us-1909,"Indianapolis Motor Speedway",1,0,0,531.804443,0.999336,5.329496,3.650000,3.650000,true
us-1956,"Watkins Glen International",1,0,0,716.393982,0.999914,5.089652,3.650000,3.650000,true
us-2012,"Circuit of the Americas",1,0,0,656.430298,0.924092,5.018353,3.650000,3.650000,true
us-2022,"Miami International Autodrome",1.45,0,0,1024.716431,0.994999,5.123859,2.458796,3.650000,true
us-2023,"Las Vegas Street Circuit",1,0,0,813.825317,0.998294,5.207090,3.650000,3.650000,true
za-1961,"Kyalami Grand Prix Circuit",1,0,0,580.173218,0.988785,5.061792,3.349072,3.650000,true
