id,name,plan_multiplier,raw_crossings,finished_crossings,length,kept,min_radius,narrowest,widest,carries
ae-2009,"Yas Marina Circuit",1,0,0,486.129333,0.706439,10.030087,5.356189,7.000000,true
ar-1952,"Autódromo Oscar y Juan Gálvez",1,0,0,288.172852,0.523850,10.108621,7.000000,7.000000,true
at-1969,"Red Bull Ring",1,0,0,527.780884,0.936550,10.016241,7.000000,7.000000,true
au-1953,"Albert Park Circuit",1,0,0,677.116516,0.981768,10.095930,7.000000,7.000000,true
az-2016,"Baku City Circuit",1,0,0,762.502808,0.982671,10.103585,1.019894,7.000000,false
be-1925,"Circuit de Spa-Francorchamps",1,0,0,868.271362,0.842698,9.906046,7.000000,7.000000,true
bh-2002,"Bahrain International Circuit",1,0,0,571.854492,0.813347,10.123319,7.000000,7.000000,true
br-1940,"Autódromo José Carlos Pace - Interlagos",1,0,0,505.317780,0.907527,10.250607,4.142262,7.000000,false
br-1977,"Autódromo Internacional Nelson Piquet",1,0,0,576.036316,0.890820,10.006379,4.887612,7.000000,true
ca-1978,"Circuit Gilles-Villeneuve",1,0,0,467.160553,0.824960,10.073012,7.000000,7.000000,true
cn-2004,"Shanghai International Circuit",1,0,0,297.042755,0.423656,10.046523,7.000000,7.000000,true
de-1927,"Nürburgring",1,0,0,479.667145,0.722658,10.019463,4.891964,7.000000,true
de-1932,"Hockenheimring",1,0,0,340.103760,0.575637,10.030830,7.000000,7.000000,true
es-1991,"Circuit de Barcelona-Catalunya",1,0,0,509.052124,0.838073,10.064566,5.128263,7.000000,true
es-2026,"Circuito de Madring",1,0,0,692.512512,0.986240,10.111106,4.774926,7.000000,true
fr-1960,"Circuit de Nevers Magny-Cours",1,0,0,327.627960,0.568294,10.141386,7.000000,7.000000,true
fr-1969,"Circuit Paul Ricard",1,0,0,580.825745,0.767743,10.011302,6.593861,7.000000,true
gb-1948,"Silverstone Circuit",1,0,0,691.000854,0.900365,10.065443,7.000000,7.000000,true
hu-1986,"Hungaroring",1,0,0,409.404327,0.724463,10.004335,7.000000,7.000000,true
it-1914,"Autodromo Internazionale del Mugello",1,0,0,437.502747,0.637407,10.035542,7.000000,7.000000,true
it-1922,"Autodromo Nazionale Monza",1,0,0,854.692627,0.962822,10.009765,7.000000,7.000000,true
it-1953,"Autodromo Enzo e Dino Ferrari",1,0,0,586.772217,0.916068,10.003328,7.000000,7.000000,true
jp-1962,"Suzuka International Racing Course",1,1,1,704.034424,0.928373,10.029458,-0.151432,7.000000,false
mc-1929,"Circuit de Monaco",1,0,0,104.700211,0.251674,10.107162,7.000000,7.000000,true
mx-1962,"Autódromo Hermanos Rodríguez",1,0,0,455.681030,0.823552,10.030817,7.000000,7.000000,true
my-1999,"Sepang International Circuit",1,0,0,451.499817,0.629338,10.031775,7.000000,7.000000,true
nl-1948,"Circuit Zandvoort",1,0,0,390.511353,0.711436,10.004252,2.502940,7.000000,false
pt-1972,"Autódromo do Estoril",1,0,0,383.494568,0.711749,10.058130,7.000000,7.000000,true
pt-2008,"Autódromo Internacional do Algarve",1,0,0,398.902344,0.663767,10.116087,7.000000,7.000000,true
qa-2004,"Losail International Circuit",1,0,0,633.192139,0.895302,10.011566,7.000000,7.000000,true
ru-2014,"Sochi Autodrom",1,0,0,743.558899,0.978106,10.180776,3.260664,7.000000,false
sa-2021,"Jeddah Corniche Circuit",1,0,0,394.968964,0.486600,2.252142,1.914321,7.000000,false
sg-2008,"Marina Bay Street Circuit",1,0,0,597.234741,0.937036,10.078403,7.000000,7.000000,true
tr-2005,"Intercity Istanbul Park",1,0,0,635.622864,0.922375,10.008897,7.000000,7.000000,true
us-1909,"Indianapolis Motor Speedway",1,0,0,506.166260,0.951158,10.105612,7.000000,7.000000,true
us-1956,"Watkins Glen International",1,0,0,620.237610,0.865702,10.065390,7.000000,7.000000,true
us-2012,"Circuit of the Americas",1,0,0,589.773926,0.830257,10.099989,7.000000,7.000000,true
us-2022,"Miami International Autodrome",1,0,0,299.830963,0.427934,7.014337,5.962187,7.000000,true
us-2023,"Las Vegas Street Circuit",1,0,0,771.147400,0.945942,10.011409,7.000000,7.000000,true
za-1961,"Kyalami Grand Prix Circuit",1,0,0,356.451050,0.607497,10.026845,6.792687,7.000000,true
