id,name,plan_multiplier,raw_crossings,finished_crossings,length,kept,min_radius,narrowest,widest,carries
ae-2009,"Yas Marina Circuit",1,0,0,486.129333,0.706439,10.030087,3.650000,3.650000,true
ar-1952,"Autódromo Oscar y Juan Gálvez",1,0,0,288.172852,0.523850,10.108621,3.650000,3.650000,true
at-1969,"Red Bull Ring",1,0,0,527.780884,0.936550,10.016241,3.650000,3.650000,true
au-1953,"Albert Park Circuit",1,0,0,677.116516,0.981768,10.095930,3.650000,3.650000,true
az-2016,"Baku City Circuit",2.45,0,0,1924.117310,0.996821,10.154860,2.535167,3.650000,true
be-1925,"Circuit de Spa-Francorchamps",1,0,0,822.557922,0.901165,10.049048,3.650000,3.650000,true
bh-2002,"Bahrain International Circuit",1,0,0,571.854492,0.813347,10.123319,3.650000,3.650000,true
br-1940,"Autódromo José Carlos Pace - Interlagos",1,0,0,505.317780,0.907527,10.250607,3.650000,3.650000,true
br-1977,"Autódromo Internacional Nelson Piquet",1,0,0,576.036316,0.890820,10.006379,3.650000,3.650000,true
ca-1978,"Circuit Gilles-Villeneuve",1,0,0,467.160553,0.824960,10.073012,3.650000,3.650000,true
cn-2004,"Shanghai International Circuit",1,0,0,297.042755,0.423656,10.046523,3.650000,3.650000,true
de-1927,"Nürburgring",1,0,0,479.667145,0.722658,10.019463,3.650000,3.650000,true
de-1932,"Hockenheimring",1,0,0,340.103760,0.575637,10.030830,3.650000,3.650000,true
es-1991,"Circuit de Barcelona-Catalunya",1,0,0,509.052124,0.838073,10.064566,3.650000,3.650000,true
es-2026,"Circuito de Madring",1,0,0,692.512512,0.986240,10.111106,3.650000,3.650000,true
fr-1960,"Circuit de Nevers Magny-Cours",1,0,0,327.627960,0.568294,10.141386,3.650000,3.650000,true
fr-1969,"Circuit Paul Ricard",1,0,0,580.825745,0.767743,10.011302,3.650000,3.650000,true
gb-1948,"Silverstone Circuit",1,0,0,691.000854,0.900365,10.065443,3.650000,3.650000,true
hu-1986,"Hungaroring",1,0,0,409.404327,0.724463,10.004335,3.650000,3.650000,true
it-1914,"Autodromo Internazionale del Mugello",1,0,0,437.502747,0.637407,10.035542,3.650000,3.650000,true
it-1922,"Autodromo Nazionale Monza",1,0,0,761.665466,0.998525,10.081367,3.650000,3.650000,true
it-1953,"Autodromo Enzo e Dino Ferrari",1,0,0,586.772217,0.916068,10.003328,3.650000,3.650000,true
jp-1962,"Suzuka International Racing Course",1.1,1,1,788.942444,0.942838,10.148106,-0.171865,3.650000,false
mc-1929,"Circuit de Monaco",1.6,0,0,302.296356,0.441908,3.911824,3.325050,3.650000,true
mx-1962,"Autódromo Hermanos Rodríguez",1,0,0,455.681030,0.823552,10.030817,3.650000,3.650000,true
my-1999,"Sepang International Circuit",1,0,0,451.499817,0.629338,10.031775,3.650000,3.650000,true
nl-1948,"Circuit Zandvoort",1,0,0,390.511353,0.711436,10.004252,2.502940,3.650000,true
pt-1972,"Autódromo do Estoril",1,0,0,383.494568,0.711749,10.058130,3.650000,3.650000,true
pt-2008,"Autódromo Internacional do Algarve",1,0,0,398.902344,0.663767,10.116087,3.650000,3.650000,true
qa-2004,"Losail International Circuit",1,0,0,633.192139,0.895302,10.011566,3.650000,3.650000,true
ru-2014,"Sochi Autodrom",1,0,0,743.558899,0.978106,10.180776,3.260664,3.650000,true
sa-2021,"Jeddah Corniche Circuit",1.2,0,0,746.891541,0.764236,5.782068,2.816908,3.650000,true
sg-2008,"Marina Bay Street Circuit",1,0,0,597.234741,0.937036,10.078403,3.650000,3.650000,true
tr-2005,"Intercity Istanbul Park",1,0,0,635.622864,0.922375,10.008897,3.650000,3.650000,true
us-1909,"Indianapolis Motor Speedway",1,0,0,506.166260,0.951158,10.105612,3.650000,3.650000,true
us-1956,"Watkins Glen International",1,0,0,620.237610,0.865702,10.065390,3.650000,3.650000,true
us-2012,"Circuit of the Americas",1,0,0,589.773926,0.830257,10.099989,3.650000,3.650000,true
us-2022,"Miami International Autodrome",1.45,0,0,822.688110,0.798830,10.047310,3.109073,3.650000,true
us-2023,"Las Vegas Street Circuit",1,0,0,771.147400,0.945942,10.011409,3.650000,3.650000,true
za-1961,"Kyalami Grand Prix Circuit",1,0,0,356.451050,0.607497,10.026845,3.650000,3.650000,true
