id,name,plan_multiplier,raw_crossings,finished_crossings,length,kept,min_radius,narrowest,widest,carries
ae-2009,"Yas Marina Circuit",1,0,0,685.115784,0.995605,5.058195,4.049772,7.000000,false
ar-1952,"Autódromo Oscar y Juan Gálvez",1,0,0,500.985931,0.910708,5.011304,3.996428,7.000000,false
at-1969,"Red Bull Ring",1,0,0,559.018616,0.991982,5.096241,4.331806,7.000000,false
au-1953,"Albert Park Circuit",1,0,0,688.655762,0.998499,5.061537,4.302307,7.000000,false
az-2016,"Baku City Circuit",1,0,0,774.559387,0.998209,5.091514,0.978800,7.000000,false
be-1925,"Circuit de Spa-Francorchamps",1,0,0,1010.981262,0.981205,5.006134,4.255214,7.000000,false
bh-2002,"Bahrain International Circuit",1,0,0,685.225098,0.974593,5.019202,4.266322,7.000000,false
br-1940,"Autódromo José Carlos Pace - Interlagos",1,0,0,545.614136,0.979898,5.015680,3.925542,7.000000,false
br-1977,"Autódromo Internacional Nelson Piquet",1,0,0,646.575012,0.999905,5.050824,4.044246,7.000000,false
ca-1978,"Circuit Gilles-Villeneuve",1,0,0,505.329041,0.892362,5.055600,4.297260,7.000000,false
cn-2004,"Shanghai International Circuit",1,0,0,579.186890,0.826062,5.019061,4.266202,7.000000,false
de-1927,"Nürburgring",1,0,0,555.692322,0.837196,5.058913,4.300076,7.000000,false
de-1932,"Hockenheimring",1,0,0,540.394714,0.914637,5.026342,4.225552,7.000000,false
es-1991,"Circuit de Barcelona-Catalunya",1,0,0,605.164734,0.996307,5.005373,4.254567,7.000000,false
es-2026,"Circuito de Madring",1,0,0,701.288757,0.998738,5.112707,4.232200,7.000000,false
fr-1960,"Circuit de Nevers Magny-Cours",1,0,0,497.468567,0.862894,5.011179,3.895153,7.000000,false
fr-1969,"Circuit Paul Ricard",1,0,0,752.182495,0.994245,5.087669,4.324519,7.000000,false
gb-1948,"Silverstone Circuit",1,0,0,762.786316,0.993900,5.119374,4.351468,7.000000,false
hu-1986,"Hungaroring",1,0,0,558.312866,0.987965,5.040356,4.284303,7.000000,false
it-1914,"Autodromo Internazionale del Mugello",1,0,0,686.335144,0.999937,5.025502,3.968262,7.000000,false
it-1922,"Autodromo Nazionale Monza",1,0,0,878.972107,0.990174,5.087118,4.324050,7.000000,false
it-1953,"Autodromo Enzo e Dino Ferrari",1,0,0,638.283997,0.996488,5.076689,4.315186,7.000000,false
jp-1962,"Suzuka International Racing Course",1,1,1,731.242920,0.964252,5.049646,-0.193674,7.000000,false
mc-1929,"Circuit de Monaco",1,0,0,339.006958,0.814890,5.019383,1.737272,7.000000,false
mx-1962,"Autódromo Hermanos Rodríguez",1,0,0,547.572876,0.989628,5.094018,4.329915,7.000000,false
my-1999,"Sepang International Circuit",1,0,0,675.553833,0.941643,5.003460,3.684332,7.000000,false
nl-1948,"Circuit Zandvoort",1,0,0,526.114075,0.958478,5.047282,2.407562,7.000000,false
pt-1972,"Autódromo do Estoril",1,0,0,518.072205,0.961519,5.024163,3.226570,7.000000,false
pt-2008,"Autódromo Internacional do Algarve",1,0,0,572.637207,0.952858,5.004107,4.253490,7.000000,false
qa-2004,"Losail International Circuit",1,0,0,703.119446,0.994175,5.054070,4.295960,7.000000,false
ru-2014,"Sochi Autodrom",1,0,0,758.974915,0.998385,5.084222,3.109828,7.000000,false
sa-2021,"Jeddah Corniche Circuit",1,0,0,810.750061,0.998841,5.083674,2.120984,7.000000,false
sg-2008,"Marina Bay Street Circuit",1,0,0,630.071655,0.988555,5.103546,4.338014,7.000000,false
tr-2005,"Intercity Istanbul Park",1,0,0,684.580505,0.993419,5.068879,4.308547,7.000000,false
us-1909,"Indianapolis Motor Speedway",1,0,0,531.804443,0.999336,5.329496,4.530072,7.000000,false
us-1956,"Watkins Glen International",1,0,0,716.393982,0.999914,5.089652,4.326204,7.000000,false
us-2012,"Circuit of the Americas",1,0,0,656.430298,0.924092,5.018353,4.265600,7.000000,false
us-2022,"Miami International Autodrome",1,0,0,689.751709,0.984448,5.074058,1.699805,7.000000,false
us-2023,"Las Vegas Street Circuit",1,0,0,813.825317,0.998294,5.207090,4.426027,7.000000,false
za-1961,"Kyalami Grand Prix Circuit",1,0,0,580.173218,0.988785,5.061792,3.349072,7.000000,false
